0.000	-0.085
0.002	-0.080
0.004	-0.070
0.006	-0.075
0.008	-0.095
0.010	-0.090
0.012	-0.100
0.014	-0.100
0.016	-0.100
0.018	-0.085
0.020	-0.060
0.022	-0.045
0.024	-0.055
0.026	-0.060
0.028	-0.070
0.030	-0.080
0.032	-0.085
0.034	-0.080
0.036	-0.070
0.038	-0.040
0.040	-0.050
0.042	-0.045
0.044	-0.040
0.046	-0.040
0.048	-0.055
0.050	-0.060
0.052	-0.055
0.054	-0.055
0.056	-0.055
0.058	-0.045
0.060	-0.040
0.062	-0.045
0.064	-0.040
0.066	-0.030
0.068	-0.035
0.070	-0.045
0.072	-0.055
0.074	-0.055
0.076	-0.050
0.078	-0.020
0.080	-0.015
0.082	-0.010
0.084	0.005
0.086	0.000
0.088	-0.005
0.090	-0.025
0.092	-0.035
0.094	-0.030
0.096	-0.030
0.098	-0.015
0.100	-0.005
0.102	0.000
0.104	0.010
0.106	0.020
0.108	0.000
0.110	-0.005
0.112	0.005
0.114	0.005
0.116	0.010
0.118	0.025
0.120	0.040
0.122	0.055
0.124	0.060
0.126	0.045
0.128	0.040
0.130	0.045
0.132	0.040
0.134	0.040
0.136	0.070
0.138	0.075
0.140	0.090
0.142	0.105
0.144	0.105
0.146	0.115
0.148	0.105
0.150	0.100
0.152	0.100
0.154	0.095
0.156	0.125
0.158	0.155
0.160	0.160
0.162	0.160
0.164	0.175
0.166	0.175
0.168	0.155
0.170	0.160
0.172	0.150
0.174	0.150
0.176	0.160
0.178	0.180
0.180	0.190
0.182	0.190
0.184	0.200
0.186	0.190
0.188	0.180
0.190	0.175
0.192	0.165
0.194	0.160
0.196	0.165
0.198	0.155
0.200	0.165
0.202	0.165
0.204	0.170
0.206	0.145
0.208	0.135
0.210	0.110
0.212	0.090
0.214	0.070
0.216	0.075
0.218	0.085
0.220	0.085
0.222	0.070
0.224	0.070
0.226	0.050
0.228	0.040
0.230	0.025
0.232	0.005
0.234	-0.005
0.236	0.000
0.238	0.000
0.240	0.005
0.242	0.010
0.244	0.000
0.246	0.010
0.248	0.015
0.250	0.030
0.252	0.035
0.254	0.045
0.256	0.065
0.258	0.085
0.260	0.090
0.262	0.120
0.264	0.115
0.266	0.090
0.268	0.085
0.270	0.070
0.272	0.080
0.274	0.080
0.276	0.090
0.278	0.095
0.280	0.110
0.282	0.115
0.284	0.130
0.286	0.115
0.288	0.100
0.290	0.095
0.292	0.095
0.294	0.095
0.296	0.100
0.298	0.110
0.300	0.120
0.302	0.125
0.304	0.140
0.306	0.135
0.308	0.115
0.310	0.115
0.312	0.115
0.314	0.115
0.316	0.125
0.318	0.130
0.320	0.125
0.322	0.140
0.324	0.140
0.326	0.140
0.328	0.130
0.330	0.105
0.332	0.100
0.334	0.100
0.336	0.130
0.338	0.140
0.340	0.135
0.342	0.150
0.344	0.145
0.346	0.130
0.348	0.125
0.350	0.125
0.352	0.115
0.354	0.120
0.356	0.125
0.358	0.140
0.360	0.140
0.362	0.150
0.364	0.145
0.366	0.140
0.368	0.135
0.370	0.140
0.372	0.125
0.374	0.125
0.376	0.135
0.378	0.145
0.380	0.145
0.382	0.140
0.384	0.135
0.386	0.120
0.388	0.120
0.390	0.110
0.392	0.115
0.394	0.120
0.396	0.135
0.398	0.135
0.400	0.130
0.402	0.135
0.404	0.130
0.406	0.110
0.408	0.110
0.410	0.110
0.412	0.105
0.414	0.115
0.416	0.125
0.418	0.130
0.420	0.115
0.422	0.120
0.424	0.115
0.426	0.105
0.428	0.100
0.430	0.105
0.432	0.090
0.434	0.100
0.436	0.105
0.438	0.110
0.440	0.120
0.442	0.135
0.444	0.120
0.446	0.110
0.448	0.095
0.450	0.100
0.452	0.095
0.454	0.100
0.456	0.110
0.458	0.110
0.460	0.115
0.462	0.115
0.464	0.095
0.466	0.080
0.468	0.075
0.470	0.070
0.472	0.070
0.474	0.075
0.476	0.090
0.478	0.085
0.480	0.100
0.482	0.125
0.484	0.110
0.486	0.105
0.488	0.075
0.490	0.080
0.492	0.065
0.494	0.075
0.496	0.080
0.498	0.090
0.500	0.100
0.502	0.115
0.504	0.105
0.506	0.090
0.508	0.085
0.510	0.090
0.512	0.085
0.514	0.095
0.516	0.110
0.518	0.135
