0	0.03825	-0.45	-0.085
0.002	0.036		-0.08
0.004	0.0315		-0.07
0.006	0.03375		-0.075
0.008	0.04275		-0.095
0.01	0.0405		-0.09
0.012	0.045		-0.1
0.014	0.045		-0.1
0.016	0.045		-0.1
0.018	0.03825		-0.085
0.02	0.027		-0.06
0.022	0.02025		-0.045
0.024	0.02475		-0.055
0.026	0.027		-0.06
0.028	0.0315		-0.07
0.03	0.036		-0.08
0.032	0.03825		-0.085
0.034	0.036		-0.08
0.036	0.0315		-0.07
0.038	0.018		-0.04
0.04	0.0225		-0.05
0.042	0.02025		-0.045
0.044	0.018		-0.04
0.046	0.018		-0.04
0.048	0.02475		-0.055
0.05	0.027		-0.06
0.052	0.02475		-0.055
0.054	0.02475		-0.055
0.056	0.02475		-0.055
0.058	0.02025		-0.045
0.06	0.018		-0.04
0.062	0.02025		-0.045
0.064	0.018		-0.04
0.066	0.0135		-0.03
0.068	0.01575		-0.035
0.07	0.02025		-0.045
0.072	0.02475		-0.055
0.074	0.02475		-0.055
0.076	0.0225		-0.05
0.078	0.009		-0.02
0.08	0.00675		-0.015
0.082	0.0045		-0.01
0.084	-0.00225		0.005
0.086	0		0
0.088	0.00225		-0.005
0.09	0.01125		-0.025
0.092	0.01575		-0.035
0.094	0.0135		-0.03
0.096	0.0135		-0.03
0.098	0.00675		-0.015
0.1	0.00225		-0.005
0.102	0		0
0.104	-0.0045		0.01
0.106	-0.009		0.02
0.108	0		0
0.11	0.00225		-0.005
0.112	-0.00225		0.005
0.114	-0.00225		0.005
0.116	-0.0045		0.01
0.118	-0.01125		0.025
0.12	-0.018		0.04
0.122	-0.02475		0.055
0.124	-0.027		0.06
0.126	-0.02025		0.045
0.128	-0.018		0.04
0.13	-0.02025		0.045
0.132	-0.018		0.04
0.134	-0.018		0.04
0.136	-0.0315		0.07
0.138	-0.03375		0.075
0.14	-0.0405		0.09
0.142	-0.04725		0.105
0.144	-0.04725		0.105
0.146	-0.05175		0.115
0.148	-0.04725		0.105
0.15	-0.045		0.1
0.152	-0.045		0.1
0.154	-0.04275		0.095
0.156	-0.05625		0.125
0.158	-0.06975		0.155
0.16	-0.072		0.16
0.162	-0.072		0.16
0.164	-0.07875		0.175
0.166	-0.07875		0.175
0.168	-0.06975		0.155
0.17	-0.072		0.16
0.172	-0.0675		0.15
0.174	-0.0675		0.15
0.176	-0.072		0.16
0.178	-0.081		0.18
0.18	-0.0855		0.19
0.182	-0.0855		0.19
0.184	-0.09		0.2
0.186	-0.0855		0.19
0.188	-0.081		0.18
0.19	-0.07875		0.175
0.192	-0.07425		0.165
0.194	-0.072		0.16
0.196	-0.07425		0.165
0.198	-0.06975		0.155
0.2	-0.07425		0.165
0.202	-0.07425		0.165
0.204	-0.0765		0.17
0.206	-0.06525		0.145
0.208	-0.06075		0.135
0.21	-0.0495		0.11
0.212	-0.0405		0.09
0.214	-0.0315		0.07
0.216	-0.03375		0.075
0.218	-0.03825		0.085
0.22	-0.03825		0.085
0.222	-0.0315		0.07
0.224	-0.0315		0.07
0.226	-0.0225		0.05
0.228	-0.018		0.04
0.23	-0.01125		0.025
0.232	-0.00225		0.005
0.234	0.00225		-0.005
0.236	0		0
0.238	0		0
0.24	-0.00225		0.005
0.242	-0.0045		0.01
0.244	0		0
0.246	-0.0045		0.01
0.248	-0.00675		0.015
0.25	-0.0135		0.03
0.252	-0.01575		0.035
0.254	-0.02025		0.045
0.256	-0.02925		0.065
0.258	-0.03825		0.085
0.26	-0.0405		0.09
0.262	-0.054		0.12
